"nocues","nhog","f_calib3","region","aglo","t_aglo","estrato_U","cod_U","v1","v1esp","v2","v3","v4","v5","v6","v7","v8","v9","v10a","v10b","v10c","v10d","v10e","v10f","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v62a","v62b","v62c","v63","v63a","v63b","v64","v64a","v64b","v65","v65a","v65b","v66","v66a","v66b","v67","v67a","v68","v68a","v68b","v68c","v69","v69a","v69b","v70","v70a","v70b","v70c","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v90cuantos","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103a","v103b","v103c","v104","v105a","v105b","v105c","v106a","v106b","v107a","v107b","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v235i","v235i_d","ITHPC","ITHPC_d","v237","tamaño","c_hogar","vnropsh","v238a","v239a","v240a","v241a","v242a","v243a","v244a","v245a","v246a","v247a_CIUO08","v247a_CNO01","v250a","v251a","v252a_CAES","v253a","v254a","v255a","v256a","v257a","egp11a","CSOa","v258a","v259a","v260a","v261a","vnrocon","v238b","v239b","v240b","v241b","v242b","v243b","v244b","v245b","v246b","v247b_CIUO08","v247b_CNO01","v250b","v251b","v252b_CAES","v253b","v254b","v255b","v256b","v257b","egp11b","CSOb","v258b","v259b","v260b","v261b"
3477,1,351,8,6,3,243,447,3,,1,1,1,1,1,1,1,1,1,,,,,,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,0,0,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,196,2011,1,2,2,2,2,2,2,2,2,2,4,,,2,,,,2,,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3000,,3000,1,750,1,3,4,3,1,1,4,1,2,3,2,1,2,6,"9212","61314",2,,"0101",2,9,3,2,2,10,,4,1,2,,2,1,4,1,2,2,2,1,2,6,"7221","80323",2,,"2400",2,,3,2,2,8,,4,1,2,
3478,1,421,8,6,3,243,447,3,,1,1,1,1,1,1,1,1,6,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,0,0,0,0,0,0,1,3,3,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,,,1,1,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,,,,1,2,2,2,2,2,2,2,1,2,1,,,2,,,,1,1,1,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,8600,,8600,4,8600,9,3,1,1,1,1,4,,,,2,,,,"6130","05002",1,2,"0103",2,2,1,,,11,5,2,1,3,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3479,1,882,8,6,3,243,447,3,,1,1,1,1,1,1,2,1,1,,,,,,4,4,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,1,0,0,0,0,3,3,3,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,99,2009,1,1,2,2,2,2,2,2,2,1,1,,,2,,,,3,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4000,,4600,2,920,1,3,5,3,1,1,4,1,2,6,2,1,2,,"8111","70393",2,,"0500",2,9,3,1,3,8,,5,1,4,,2,1,4,1,2,6,2,1,2,,"8350","34323",1,2,"5000",1,3,3,1,3,9,8,5,1,4,
3480,1,384,8,6,3,243,447,3,,1,1,1,1,1,1,1,1,7,,,,,,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,3,0,3,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,103,2008,1,1,2,2,2,2,2,1,1,1,1,2,,2,,,,1,1,3,,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,16500,,17000,8,5666.666666666667,7,2,3,7,1,1,2,,,,2,1,2,4,"7221","80113",2,,"2500",5,1,2,,,6,7,6,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3481,1,394,8,6,3,243,447,3,,1,1,1,3,1,1,1,1,,,,,,,6,5,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,122,2004,1,1,2,2,2,2,1,2,1,2,2,1,,2,,,,1,1,3,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,,,17000,8,4250,6,1,4,8,1,1,3,1,1,,2,1,1,,"7112","72113",2,,"4500",2,1,2,,,6,7,5,2,,4,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3482,1,664,8,6,3,243,447,3,,1,1,1,1,1,1,1,1,1,,,,,,5,4,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,2,1,1,1,2,3,1,2,2,1,2,2,2,2,1,9,2,2,2,2,2,2,,2,,,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,200,1990,1,2,2,2,2,2,2,2,,,,,,,,,,3,,3,,1,2,,1,,,,,,,,,,,,2,,,,23000,9,3285.714285714286,5,,7,3,2,,,,,,,,,,"9999","99999",,,"9999",9,9,9,,,,,,,,,3,,,,,,,,,,"9999","99999",,,"9999",,,,,,,,,,,
3483,1,486,8,6,3,243,447,3,,1,1,1,4,1,1,1,1,,,,,,,7,3,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,2,3,,,3,,,3,,,,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,200,1985,1,1,2,2,2,2,2,2,1,2,1,,,2,,,,3,,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,23000,,23000,9,3833.3333333333335,5,1,6,6,2,2,3,1,1,,1,1,2,,"5221","30113",2,,"4808",2,1,2,,,6,5,,1,4,,3,1,3,,,,4,,,,"7112","72113",2,,"4000",2,1,2,,,6,7,,1,4,
3484,1,240,8,6,3,243,447,3,,,,,,,1,1,1,,,,,,,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,2,1,,3,,,,1,,1,1,2,1,,1,2,2,2,2,1,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,2,2,3,2,1,2,,,,3,,3,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3000,,3000,1,3000,4,3,1,1,1,1,3,0,,,2,0,,,"6121","61193",1,,"0102",2,3,2,,,11,7,,2,,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3485,1,1009,8,6,3,266,862,3,,1,1,2,4,1,1,2,1,2,,,,,,5,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,0,1,2,1,0,0,2,2,1,2,2,2,1,9,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,189,2014,1,1,1,2,2,2,2,1,1,1,1,2,,1,4,,,1,2,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,,11,29014.914,10,14507.457,10,1,2,4,1,1,3,3,1,,2,1,1,,"4222","10203",1,,"6100",1,6,3,1,3,2,8,5,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3486,1,766,8,6,3,266,862,3,,1,1,2,4,1,5,,,,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,1,2,3,1,1,0,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,2,110,2014,1,1,2,2,2,2,2,1,1,1,1,2,,1,4,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,28487,10,14243.5,10,2,2,2,1,,,,,,,,,,"9999","99999",,,"9999",9,9,9,,,,,,,,,2,1,3,1,1,,2,1,1,,"3000","43331",,,"9409",1,,3,2,2,2,,8,1,4,
3487,1,569,8,6,3,266,862,3,,1,1,1,4,1,1,1,1,1,,,,,,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,0,2,2,1,1,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,29,2012,1,1,2,2,2,2,2,1,1,1,1,2,,2,,,,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,58030,,58030,10,29015,10,1,2,2,1,1,3,6,1,,2,3,1,,"0110","49312",1,4,"8402",1,6,3,1,3,,,7,2,,4,2,1,3,5,1,,2,3,1,,"3118","80312",1,4,"8401",1,6,3,1,3,1,4,7,2,,4
3488,1,1098,8,6,3,266,862,3,,1,1,2,4,1,5,,,,,,,,,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,2,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,,,1,1,2,2,2,1,2,1,1,1,1,2,,1,4,,,1,1,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,23212,,23212,9,5803,7,3,4,3,1,1,3,1,1,,2,3,2,4,"5419","10312",1,3,"8401",1,6,3,1,3,9,8,5,1,3,,2,2,3,6,1,,4,,,,"2341","41332",1,3,"8501",1,3,3,1,3,1,4,5,1,3,
3489,1,1114,7,6,3,228,813,3,,1,1,1,2,1,1,1,1,6,,,,,,5,3,1,1,4,1,1,1,2,1,1,1,1,2,1,1,2,0,0,0,0,0,1,1,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,235,2010,1,1,2,2,2,2,2,1,1,1,1,2,,2,,,,3,,3,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,17100,,21050,9,4210,6,2,5,7,1,1,2,1,1,,2,1,1,,"3132","71313",2,,"3600",1,9,3,1,3,8,,7,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3490,1,1051,7,6,3,228,813,3,,1,1,1,1,1,1,1,1,1,,,,,,4,3,0,1,4,1,1,1,2,1,1,1,1,2,1,2,2,0,0,0,0,0,1,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,1,1,,3,,3,,,,3,,,3,,,,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,,,,1,2,2,2,2,2,2,1,2,2,1,2,3,1,4,,,1,1,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,18200,,18200,8,3640,5,2,5,6,1,1,2,1,1,,2,0,,,"9990","99999",,,"4901",1,9,3,1,3,,,5,1,4,,2,1,2,2,1,,2,1,1,,"6111","60113",2,,"0101",2,1,2,,,11,7,5,1,4,
3491,1,784,7,6,3,228,813,3,,1,1,1,1,1,1,1,1,2,,,,,,4,3,0,1,4,1,1,1,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,201,2012,1,2,2,2,2,2,2,1,1,1,1,2,3,2,,,,2,1,3,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,9500,5,2375,3,3,4,3,1,1,6,,,,2,1,2,2,"5223","30313",1,2,"4808",2,2,3,,,2,6,5,1,4,,2,1,3,1,1,,2,1,1,,"8311","34323",2,,"4901",1,6,3,1,3,8,8,5,1,4,
3492,1,1220,7,6,3,228,813,3,,1,1,1,2,1,1,2,2,1,2,,,,,5,3,0,1,4,1,1,1,2,1,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,1,1,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,99,2009,1,2,2,2,2,1,2,1,2,2,1,2,,1,1,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,9000,5,2250,3,2,4,3,1,1,2,3,2,3,2,3,1,,"8332","34123",2,,"4904",2,1,2,,,6,7,8,1,4,,2,1,2,5,1,,2,5,1,,"2341","41312",2,,"8501",1,3,3,1,3,2,4,8,1,4,
3493,1,1039,7,6,3,228,813,3,,1,1,1,2,1,1,1,2,2,,,,,,3,2,0,1,4,1,1,1,2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2,,,,1,2,2,2,2,2,2,1,1,2,1,2,3,1,4,,,1,1,3,,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,8050,,8050,4,2012.5,3,3,4,6,1,1,2,,,,2,,,,"9312","72313",1,,"4901",1,9,3,1,3,9,,5,1,3,,2,1,1,1,1,,2,1,1,,"6130","06001",1,2,"0103",2,3,1,,,11,3,6,1,3,
3494,1,1034,7,6,3,228,813,3,,1,1,1,1,1,1,1,1,1,,,,,,2,1,0,1,4,1,2,2,2,1,1,1,1,1,1,2,2,0,0,1,0,1,0,0,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,,,,1,2,2,2,2,2,2,1,2,2,4,,,2,,,,3,,3,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7000,,7000,3,3500,5,2,2,8,1,1,2,1,1,,2,1,1,,"6111","05002",1,1,"0101",2,2,1,,,11,5,7,2,,4,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3495,1,269,8,6,4,266,861,3,,1,2,2,4,2,2,1,2,1,,,,,,1,1,0,1,4,1,1,2,3,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,219,2014,2,2,2,2,2,2,2,1,1,1,1,2,3,1,4,,,1,,1,,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,46951,,48956,10,12239,10,1,4,3,1,1,3,,,,2,1,2,,"5164","61323",2,,"0102",2,2,5,,,4,10,5,1,3,,2,2,3,1,2,3,4,,,,"9111","55314",2,,"9700",2,,3,,,9,,5,1,3,
3496,1,431,8,6,3,244,448,3,,1,1,2,1,1,1,1,1,6,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,0,2,0,0,2,0,3,1,3,2,2,2,2,2,1,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,1,1,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,177,1995,1,2,2,2,2,2,2,1,1,1,1,2,,2,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12200,,12200,6,6100,7,2,2,2,1,1,2,1,1,,2,1,1,,"9212","61203",1,2,"0102",2,2,3,2,3,10,9,4,1,1,,2,1,4,1,,,2,1,2,4,"7115","80113",2,,"1600",5,1,2,,,6,7,5,1,1,
3497,1,515,8,6,3,244,448,3,,1,1,1,1,1,1,1,1,1,,,,,,3,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,0,0,2,0,3,1,3,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,,,,1,5,,,1,1,,3,,,3,,,3,,,1,1,3,,,,1,1,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2800,,2800,1,2800,4,3,1,1,1,3,3,1,2,3,3,1,2,3,"7112","72123",2,,"4000",5,9,2,,,6,,7,1,4,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3498,1,570,8,6,3,244,448,3,,1,1,1,1,1,1,,,,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,0,0,2,0,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,234,1997,1,1,2,2,2,2,2,1,1,1,1,2,,2,,,,3,,3,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,21000,,21500,9,5375,7,2,4,3,1,2,2,0,,,1,1,1,,"9111","55314",2,,"9700",2,9,3,,,9,,6,1,4,,2,2,2,3,2,3,3,,,,"5412","48393",2,,"8402",1,,3,1,,8,,8,1,4,
3499,1,1674,8,6,3,242,432,3,,1,1,1,1,1,1,1,1,1,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,160,2000,1,1,1,2,2,2,2,1,1,1,1,2,3,1,2,,,3,,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,10,22500,9,3750,5,2,6,6,1,1,2,,,,2,,,,"9999","99999",,,"9999",9,9,9,,,,,7,1,4,,2,1,2,,,,2,,,,"9999","99999",,,"9999",,,,,,,,7,1,4,
3500,1,283,8,6,3,244,448,3,,1,1,1,1,1,1,1,1,1,,,,,,2,2,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,0,0,2,0,3,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,177,1997,1,2,2,2,2,2,2,1,1,1,1,2,,2,,,,3,,3,,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,3,9300,,9300,5,2325,3,3,4,6,1,3,2,1,2,2,4,,,,"7112","72193",,,"4000",5,9,2,,,6,,5,2,,4,2,3,2,1,2,2,4,,,,"9111","55394",,,"9700",2,,3,2,2,9,,8,2,,4
3501,1,499,8,6,4,245,452,2,,1,1,1,4,1,1,1,1,1,,,,,,4,2,0,1,1,1,1,1,3,1,1,1,1,2,1,1,2,,1,1,0,1,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,156,2005,1,1,2,2,2,2,2,1,1,2,1,2,,1,4,,,2,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,7,42204,10,10551,9,3,4,3,1,1,3,1,1,,2,,,,"0310","49393",1,4,"8402",1,6,3,1,3,,,5,1,4,,2,2,1,1,1,,4,,,,"9999","99999",,,"9999",5,2,1,,,,,7,1,4,
3503,1,296,8,6,4,245,452,3,,1,1,2,4,1,5,,,,,,,,,2,2,0,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,0,1,0,1,0,0,0,,2,2,1,1,2,1,1,9,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,1,2,2,1,,,2,,,,3,,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,20047,9,5011.75,7,3,4,3,1,1,3,3,1,,2,5,1,,"9998","99990",,,"9990",,,,,,,,6,1,4,,2,1,3,1,1,,1,6,1,,"9998","99990",,,"9990",,,,,,,,,1,4,
3504,1,247,8,6,4,245,452,2,,1,1,1,4,1,1,2,2,7,,,,,,4,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,1,1,1,1,1,1,0,1,2,1,1,1,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,29,2000,1,1,2,2,2,2,2,1,1,2,2,,,1,4,,,3,,3,,1,,,,,,,,,,,,,,,2,2,12661,,12661,6,6330.5,8,,2,2,1,1,2,5,1,,2,,,,"9990","99999",2,,"4901",1,6,3,1,3,,,5,1,4,,2,1,2,,,,,,,,"3322","31314",2,,"4801",2,3,3,1,3,2,6,5,1,4,
3505,1,401,8,6,4,245,452,3,,1,1,1,4,1,1,1,2,1,,,,,,8,3,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,,,,1,1,2,2,2,2,2,1,1,2,1,,,1,4,,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,7386,4,3693,5,2,2,4,1,2,4,3,1,,4,,,,"9998","99990",,,"9990",,,,,,,,7,1,5,,,,,,,,,,,,"","",,,"",,,,,,,,,,,
3507,1,543,8,6,4,245,452,2,,1,1,1,4,1,6,,,,,,,,,5,2,0,1,1,1,1,1,3,1,1,1,2,2,1,1,2,,1,1,1,1,1,1,0,1,2,1,1,1,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,,,,1,1,2,2,2,2,2,1,1,2,1,,,1,4,,,1,1,3,,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,,,14455,7,3613.75,5,3,4,3,1,1,1,1,1,,2,1,1,,"9212","61314",,,"0102",2,9,3,1,,10,,5,2,,2,2,1,1,3,,,2,1,1,,"9990","99999",,,"8401",1,,3,1,,,,6,2,,2
3508,1,660,8,6,4,245,452,2,,1,1,1,4,1,5,,,,,,,,,6,2,0,1,1,1,1,1,3,1,1,1,1,2,1,1,2,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,,,,1,1,2,2,2,2,2,1,1,2,1,,,1,4,,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1583,1,395.75,1,3,4,3,1,1,3,3,1,,2,3,1,,"9999","99999",2,,"9999",9,9,9,,,,,5,1,2,,2,1,3,3,1,,2,3,1,,"9999","99999",2,,"9999",,,,,,,,5,1,2,
3509,1,598,8,6,4,245,452,2,,1,1,2,4,1,2,2,2,6,,,,,,7,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,2,1,1,2,2,2,0,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,,,,1,2,2,2,2,2,2,1,2,2,2,,,2,,,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,42204,10,10551,9,2,4,3,1,,1,,,,4,,,,"9999","99999",,,"9999",9,9,4,,3,,,5,1,2,,2,3,1,3,2,,4,,,,"9999","99999",,,"9999",,,4,,3,,,5,1,2,
3510,1,412,8,6,4,245,452,3,,1,1,1,4,1,1,2,2,7,,,,,,3,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,2,2,1,0,1,2,1,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,,1,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,122,2009,1,1,2,2,2,2,2,1,2,2,1,2,,1,4,,,3,,3,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,6,12134,6,4044.6666666666665,6,3,3,3,2,1,2,5,2,4,2,3,2,3,"9999","99999",2,,"9999",9,9,3,2,3,,,5,1,4,,1,1,3,3,2,3,2,,,,"9999","99999",2,,"9999",,,3,1,3,,,5,1,4,
